t,n,e
1637919858.8015604,590658.4375871653,6136582.506515642
1637919859.8016496,590658.4020501471,6136583.61899008
1637919860.801529,590658.2918972847,6136584.351441942
1637919861.8015132,590658.1110526578,6136585.438666868
1637919862.801527,590658.043662767,6136586.249921643
1637919863.8015537,590657.957031474,6136587.07191314
1637919864.8015406,590657.8309392305,6136588.271583451
1637919865.8015895,590657.8911521508,6136589.352628996
1637919866.8015413,590657.8909610932,6136590.287716914
1637919867.8014734,590657.8683279814,6136591.38932444
1637919868.8016555,590657.9638866582,6136592.292983456
1637919869.8015733,590658.2086391762,6136593.0327270655
1637919870.801513,590658.2168431679,6136593.867799061
1637919871.8015263,590658.3744696155,6136594.527828307
1637919872.801553,590658.1890528881,6136595.837600215
1637919873.8015556,590658.2903268256,6136596.463075525
1637919874.801556,590658.6444183267,6136597.127141296
1637919875.8015573,590658.7343887099,6136597.685592105
1637919876.801553,590658.9138721566,6136598.824748428
1637919877.8015552,590659.0920475764,6136599.718972872
1637919878.8013892,590659.3022670896,6136599.979329079
1637919879.8015218,590659.2659429276,6136600.5129209785
1637919880.8015444,590659.3887441546,6136601.016386117
1637919881.8015473,590659.1974469634,6136602.303773087
1637919882.8015885,590659.1635100086,6136603.338356109
1637919883.801547,590659.1521160745,6136604.818684146
1637919884.801549,590659.0968801829,6136605.964150028
1637919885.801546,590658.8175430751,6136607.216332016
1637919886.8013992,590658.744501474,6136607.994074546
1637919887.8015442,590658.755549632,6136609.307882988
1637919888.8016,590658.7137386545,6136610.108531273
1637919889.8015115,590658.5902251815,6136610.874104773
1637919890.8015287,590658.5201929058,6136612.431152371
1637919891.8015623,590658.3811971355,6136613.641689632
1637919892.8015618,590658.372775379,6136614.97736215
1637919893.8015556,590658.3381527021,6136616.0453272415
1637919894.8015404,590657.994297631,6136617.351843935
1637919895.8015897,590657.578113744,6136618.167064573
1637919896.8015435,590657.1060350973,6136618.925476624
1637919897.8015482,590657.319034531,6136619.97626517
1637919898.8015573,590657.5838773611,6136620.972458654
1637919899.8015435,590657.8379377128,6136621.567676958
1637919900.8015447,590658.3385775457,6136622.813620147
1637919901.8015447,590658.903799548,6136623.693532778
1637919902.801548,590658.903799548,6136623.693532778
1637919903.801541,590658.903799548,6136623.693532778
1637919904.801508,590658.903799548,6136623.693532778
1637919905.8013878,590658.903799548,6136623.693532778
1637919906.8015604,590658.903799548,6136623.693532778
1637919907.8015523,590658.903799548,6136623.693532778
1637919908.800999,590658.903799548,6136623.693532778
1637919909.801154,590658.903799548,6136623.693532778
1637919938.8013763,590692.8241842882,6136645.58601286
1637919939.8015327,590694.1168755282,6136645.312017465
1637919940.801545,590695.1249982613,6136645.310474551
1637919941.8015475,590696.5464319637,6136645.250635023
1637919942.8015647,590697.4842225476,6136644.969345752
1637919943.8015475,590698.4673860103,6136645.256723864
1637919944.8014064,590699.7104826136,6136646.161707964
1637919945.80152,590701.1043066903,6136647.136583042
1637919946.8015475,590702.1410760863,6136647.592044656
1637919947.8015537,590703.3290977613,6136647.783446486
1637919948.8014083,590704.2229160031,6136647.790688051
1637919949.801529,590705.1515569605,6136647.954494344
1637919950.801586,590706.5307129078,6136648.717560701
1637919951.8015456,590707.7131093539,6136649.799412141
1637919952.8015344,590709.1123530577,6136650.818929454
1637919953.801435,590710.129650766,6136651.296256809
1637919954.801953,590711.0978494834,6136651.69465067
1637919955.8015387,590712.354209768,6136651.954252187
1637919956.8015518,590713.4015678033,6136651.586162417
1637919957.8015497,590713.9286318161,6136650.929075042
1637919958.8015444,590714.2662569504,6136650.234696945
1637919959.8015227,590714.797439021,6136649.377317407
1637919960.8015432,590715.3086936851,6136648.564056445
1637919961.801592,590715.6610531359,6136647.769792908
1637919962.801594,590715.8939149829,6136646.928544431
1637919963.801553,590716.1324961203,6136645.809112265
1637919964.8016021,590716.2967892829,6136644.91079384
1637919965.8015947,590716.3930391755,6136643.621454714
1637919966.8015473,590716.480595883,6136642.754954813
1637919967.8015523,590716.5648571046,6136641.431973063
1637919968.8015914,590716.4279232748,6136640.382745009
1637919969.801291,590716.2506765265,6136639.444008676
1637919970.8014307,590715.9687336556,6136638.046705811
1637919971.8015437,590715.8155321516,6136636.863558729
1637919972.8013334,590715.4806689351,6136635.264791003
1637919973.8014479,590715.2543228129,6136634.247120948
1637919974.801521,590715.0863869806,6136633.1638594465
1637919975.8013852,590714.9580776246,6136632.003488271
1637919976.801406,590714.7377468768,6136630.384811177
1637919977.801471,590714.5947033605,6136629.324325563
1637919978.8014908,590714.6802688158,6136628.246275746
1637919979.8005013,590714.723140665,6136626.777726429
1637919980.8015108,590714.7189045325,6136625.441793248
1637919981.8014615,590714.7665804018,6136623.739569638
1637919982.8014505,590714.8880192568,6136622.150183003
1637919983.8006136,590715.1616525395,6136621.176188084
1637919984.801514,590715.3637427227,6136620.289778748
1637919985.8006256,590715.7130372102,6136619.027906041
1637919986.801503,590715.7139271144,6136618.059435924
1637919987.8014705,590715.4548840362,6136616.473359116
