"(1639128554.8643074, 55.4715016, 10.3243595)"
"(1639128554.8650203, 55.4715016, 10.3243595)"
"(1639128555.8647187, 55.4715011, 10.3243589)"
"(1639128556.8640077, 55.4715006, 10.3243584)"
"(1639128557.8640056, 55.4715001, 10.3243581)"
"(1639128558.8640034, 55.4714997, 10.3243582)"
"(1639128559.8639987, 55.4714995, 10.3243582)"
"(1639128560.8639863, 55.4714994, 10.3243582)"
"(1639128561.8647754, 55.4714994, 10.3243581)"
"(1639128562.864785, 55.4714994, 10.3243577)"
"(1639128563.8648365, 55.4714995, 10.3243572)"
"(1639128564.8647115, 55.4714995, 10.3243569)"
"(1639128565.8648007, 55.4714995, 10.3243565)"
"(1639128566.8639975, 55.4714995, 10.3243565)"
"(1639128567.8640096, 55.4714995, 10.3243565)"
"(1639128568.863995, 55.471499, 10.3243565)"
"(1639128569.8640008, 55.4714987, 10.3243565)"
"(1639128570.8638914, 55.4714985, 10.3243565)"
"(1639128571.8647642, 55.4714984, 10.3243565)"
"(1639128572.8642232, 55.4714982, 10.3243564)"
"(1639128573.8640137, 55.4714981, 10.3243562)"
"(1639128574.8639967, 55.4714981, 10.3243561)"
"(1639128575.8648868, 55.4714981, 10.3243559)"
"(1639128576.8648248, 55.4714982, 10.3243558)"
"(1639128577.8639991, 55.4714982, 10.3243554)"
"(1639128578.8647947, 55.471498, 10.3243553)"
"(1639128579.8640056, 55.4714976, 10.3243554)"
"(1639128580.8639996, 55.4714974, 10.3243554)"
"(1639128581.8639913, 55.4714971, 10.3243554)"
"(1639128582.8640106, 55.4714967, 10.3243554)"
"(1639128583.8640149, 55.4714966, 10.3243554)"
"(1639128584.8640027, 55.4714964, 10.3243553)"
"(1639128585.8640118, 55.4714963, 10.324355)"
"(1639128586.8640058, 55.4714963, 10.3243547)"
"(1639128587.86401, 55.4714963, 10.3243545)"
"(1639128588.8640027, 55.4714963, 10.3243543)"
"(1639128589.8640077, 55.4714963, 10.3243541)"
"(1639128590.8648348, 55.4714963, 10.3243541)"
"(1639128591.8647993, 55.4714962, 10.3243542)"
"(1639128592.8640072, 55.4714962, 10.3243543)"
"(1639128593.8640037, 55.4714961, 10.3243544)"
"(1639128594.8640072, 55.4714958, 10.3243546)"
"(1639128595.864005, 55.4714958, 10.3243548)"
"(1639128596.8648298, 55.4714957, 10.3243549)"
"(1639128597.8648264, 55.4714957, 10.3243551)"
"(1639128598.864001, 55.4714957, 10.3243551)"
"(1639128599.8639936, 55.4714957, 10.3243552)"
"(1639128600.8640022, 55.4714956, 10.3243553)"
"(1639128601.864835, 55.4714955, 10.3243554)"
"(1639128602.863877, 55.4714955, 10.3243553)"
"(1639128603.864052, 55.4714956, 10.3243552)"
"(1639128604.86401, 55.4714958, 10.3243551)"
"(1639128605.8647943, 55.471496, 10.324355)"
"(1639128606.8647823, 55.4714961, 10.3243548)"
"(1639128607.8640323, 55.4714964, 10.3243546)"
"(1639128608.8647225, 55.4714965, 10.3243543)"
"(1639128609.8640635, 55.4714965, 10.3243542)"
"(1639128610.864798, 55.4714965, 10.3243541)"
"(1639128611.863999, 55.4714965, 10.3243542)"
"(1639128612.8638964, 55.4714963, 10.3243543)"
"(1639128613.8639767, 55.4714962, 10.3243545)"
"(1639128614.864001, 55.4714961, 10.3243548)"
"(1639128615.864795, 55.4714961, 10.3243548)"
"(1639128616.8648255, 55.4714961, 10.3243551)"
"(1639128617.8647792, 55.4714963, 10.3243552)"
"(1639128618.8640015, 55.4714962, 10.3243554)"
"(1639128619.8639991, 55.4714961, 10.3243557)"
"(1639128620.8640025, 55.4714958, 10.324356)"
"(1639128621.8648303, 55.4714957, 10.3243562)"
"(1639128622.864013, 55.4714955, 10.3243564)"
"(1639128623.8647547, 55.4714952, 10.3243564)"
"(1639128624.864775, 55.4714952, 10.3243566)"
"(1639128625.8639796, 55.4714953, 10.3243569)"
"(1639128626.8648243, 55.4714955, 10.3243571)"
"(1639128627.8648427, 55.4714959, 10.3243571)"
"(1639128628.8640006, 55.4714962, 10.3243569)"
"(1639128629.8640184, 55.4714965, 10.3243567)"
"(1639128630.8640041, 55.4714965, 10.3243565)"
"(1639128631.8640003, 55.4714966, 10.3243564)"
"(1639128632.8639946, 55.4714968, 10.3243561)"
"(1639128633.8639975, 55.4714971, 10.3243558)"
"(1639128634.86401, 55.4714976, 10.3243553)"
"(1639128635.8640304, 55.471498, 10.324355)"
"(1639128636.8647873, 55.4714983, 10.324355)"
"(1639128637.8640032, 55.4714987, 10.324355)"
"(1639128638.8648303, 55.471499, 10.3243551)"
"(1639128639.8640275, 55.471499, 10.3243554)"
"(1639128640.863894, 55.4714994, 10.3243557)"
"(1639128641.8647802, 55.4715, 10.3243558)"
"(1639128642.8647869, 55.4715004, 10.3243559)"
"(1639128643.8640356, 55.4715006, 10.3243559)"
"(1639128644.8648212, 55.4715004, 10.3243556)"
"(1639128645.864795, 55.4715001, 10.3243557)"
"(1639128646.8640046, 55.4714995, 10.3243556)"
"(1639128647.8647537, 55.4714986, 10.324355)"
"(1639128648.8647306, 55.471498, 10.3243546)"
"(1639128649.8648002, 55.4714977, 10.3243544)"
"(1639128650.8640049, 55.4714973, 10.3243539)"
"(1639128651.8639808, 55.471497, 10.3243532)"
"(1639128652.8639903, 55.4714969, 10.324353)"
"(1639128653.8648276, 55.4714967, 10.3243526)"
"(1639128654.8640084, 55.4714966, 10.3243521)"
"(1639128655.863903, 55.4714965, 10.3243518)"
"(1639128656.8639224, 55.4714965, 10.3243515)"
"(1639128657.863994, 55.4714964, 10.3243512)"
"(1639128658.8648217, 55.4714962, 10.3243512)"
"(1639128659.8642993, 55.471496, 10.3243512)"
"(1639128660.864004, 55.4714959, 10.3243512)"
"(1639128661.864002, 55.4714958, 10.3243512)"
"(1639128662.864004, 55.4714957, 10.3243514)"
"(1639128663.8640027, 55.4714956, 10.3243514)"
"(1639128664.8647838, 55.4714955, 10.3243515)"
"(1639128665.864008, 55.4714954, 10.3243515)"
"(1639128666.8640018, 55.4714953, 10.3243513)"
"(1639128667.8648064, 55.4714951, 10.3243513)"
"(1639128668.8640041, 55.4714967, 10.3243504)"
"(1639128669.864818, 55.4715019, 10.3243409)"
"(1639128670.8648055, 55.471511, 10.3243243)"
"(1639128671.8647966, 55.4715226, 10.3243039)"
"(1639128672.8639932, 55.4715355, 10.3242813)"
"(1639128673.8647687, 55.4715494, 10.324257)"
"(1639128674.8647952, 55.471564, 10.3242309)"
"(1639128675.8647568, 55.4715795, 10.3242033)"
"(1639128676.8640034, 55.4715962, 10.3241732)"
"(1639128677.8639958, 55.4716196, 10.3241403)"
"(1639128678.8640077, 55.4716475, 10.3241057)"
"(1639128679.8647797, 55.4716462, 10.3240888)"
"(1639128680.864007, 55.4716228, 10.3240906)"
"(1639128681.8647869, 55.4715982, 10.3240975)"
"(1639128682.864787, 55.4715595, 10.3241057)"
"(1639128683.864004, 55.4715183, 10.3241015)"
"(1639128684.8640063, 55.471503, 10.3240935)"
"(1639128685.8640018, 55.4714852, 10.3240778)"
"(1639128686.8640049, 55.4714729, 10.3240604)"
"(1639128687.864774, 55.4714656, 10.3240397)"
"(1639128688.8647778, 55.4714628, 10.3240165)"
"(1639128689.8647897, 55.4714636, 10.3239922)"
"(1639128690.8640182, 55.471467, 10.3239673)"
"(1639128691.8648226, 55.4714689, 10.3239528)"
"(1639128692.864823, 55.471469, 10.3239515)"
"(1639128693.864511, 55.4714692, 10.3239519)"
"(1639128694.8640056, 55.4714692, 10.323952)"
"(1639128695.8639798, 55.4714694, 10.323952)"
"(1639128696.8639977, 55.4714696, 10.3239517)"
"(1639128697.8648562, 55.4714698, 10.3239514)"
"(1639128698.8639948, 55.4714698, 10.3239511)"
"(1639128699.8639963, 55.4714699, 10.3239508)"
"(1639128700.8640034, 55.4714699, 10.3239505)"
"(1639128701.8648455, 55.47147, 10.3239501)"
"(1639128702.864006, 55.47147, 10.3239497)"
"(1639128703.863917, 55.4714702, 10.3239494)"
"(1639128704.8640082, 55.4714703, 10.3239492)"
"(1639128705.8648021, 55.4714704, 10.3239491)"
"(1639128706.8640013, 55.4714706, 10.3239489)"
"(1639128707.8647888, 55.4714717, 10.3239461)"
"(1639128708.864785, 55.4714722, 10.323943)"
"(1639128709.8640008, 55.4714719, 10.323943)"
"(1639128710.8647556, 55.4714713, 10.3239448)"
"(1639128711.8648195, 55.4714713, 10.3239457)"
"(1639128712.864574, 55.471471, 10.3239459)"
"(1639128713.864027, 55.4714705, 10.3239467)"
"(1639128714.864785, 55.4714703, 10.3239471)"
"(1639128715.864007, 55.4714701, 10.3239474)"
"(1639128716.8648405, 55.4714706, 10.3239475)"
"(1639128717.8648098, 55.4714708, 10.3239478)"
"(1639128718.864772, 55.4714706, 10.3239479)"
"(1639128719.8648388, 55.4714703, 10.3239483)"
"(1639128720.8640006, 55.4714694, 10.3239491)"
"(1639128721.864798, 55.4714688, 10.3239495)"
"(1639128722.8647928, 55.4714677, 10.3239504)"
"(1639128723.864, 55.4714677, 10.3239505)"
"(1639128724.864796, 55.471468, 10.3239506)"
"(1639128725.8640015, 55.4714684, 10.3239505)"
"(1639128726.8640018, 55.4714685, 10.32395)"
"(1639128727.8639991, 55.4714683, 10.3239498)"
"(1639128728.8648288, 55.4714682, 10.32395)"
"(1639128729.8648288, 55.4714678, 10.3239502)"
"(1639128730.8639731, 55.4714674, 10.3239501)"
"(1639128731.8639987, 55.4714676, 10.3239498)"
"(1639128732.8639255, 55.4714679, 10.3239496)"
"(1639128733.8646827, 55.4714678, 10.3239498)"
"(1639128734.8647988, 55.4714673, 10.3239499)"
"(1639128735.8648245, 55.4714671, 10.3239502)"
"(1639128736.8640132, 55.4714673, 10.3239501)"
"(1639128737.8647594, 55.4714677, 10.3239499)"
"(1639128738.8639455, 55.4714682, 10.32395)"
"(1639128739.8640244, 55.4714683, 10.3239502)"
"(1639128740.864755, 55.4714679, 10.32395)"
"(1639128741.8648314, 55.4714676, 10.3239499)"
"(1639128742.8640044, 55.4714665, 10.3239513)"
"(1639128743.863927, 55.4714614, 10.323958)"
"(1639128744.8647819, 55.471452, 10.3239707)"
"(1639128745.864741, 55.4714413, 10.3239845)"
"(1639128746.8640015, 55.4714347, 10.3239931)"
"(1639128747.8646169, 55.4714278, 10.3240022)"
"(1639128748.8647938, 55.4714271, 10.3240033)"
"(1639128749.86479, 55.4714269, 10.3240022)"
"(1639128750.8639975, 55.4714269, 10.3240011)"
"(1639128751.8647952, 55.4714265, 10.324001)"
"(1639128752.864776, 55.4714243, 10.3239967)"
"(1639128753.8648653, 55.4714214, 10.3239906)"
"(1639128754.8640015, 55.4714188, 10.3239854)"
"(1639128755.8647592, 55.4714266, 10.3239995)"
"(1639128756.863991, 55.4714276, 10.3240065)"
"(1639128757.864797, 55.4714229, 10.3240131)"
"(1639128758.8640034, 55.4714214, 10.3240128)"
"(1639128759.864, 55.4714215, 10.3240115)"
"(1639128760.864004, 55.4714222, 10.3240109)"
"(1639128761.8640003, 55.4714226, 10.3240115)"
"(1639128762.8638906, 55.4714201, 10.3240146)"
"(1639128763.8640072, 55.4714056, 10.3240345)"
"(1639128764.8648336, 55.4713794, 10.3240702)"
"(1639128765.8647907, 55.4713488, 10.3241114)"
"(1639128766.8647697, 55.4713251, 10.3241433)"
"(1639128767.8640292, 55.4713158, 10.3241601)"
"(1639128768.8639688, 55.4713145, 10.3241629)"
"(1639128769.8640022, 55.4713125, 10.3241629)"
"(1639128770.8648286, 55.4713125, 10.3241623)"
"(1639128771.8648243, 55.4713126, 10.3241637)"
"(1639128772.8640063, 55.4713124, 10.3241649)"
"(1639128773.8640034, 55.471312, 10.3241645)"
"(1639128774.8647964, 55.4713111, 10.3241674)"
"(1639128775.864671, 55.4713116, 10.3241892)"
"(1639128776.8647788, 55.4713147, 10.3242411)"
"(1639128777.8639934, 55.4713206, 10.3243215)"
"(1639128778.863994, 55.4713281, 10.3244168)"
"(1639128779.8647194, 55.4713341, 10.3244961)"
"(1639128780.86486, 55.4713357, 10.3245303)"
"(1639128781.86479, 55.4713347, 10.3245359)"
"(1639128782.8647733, 55.471332, 10.3245362)"
"(1639128783.8638926, 55.4713319, 10.3245357)"
"(1639128784.86478, 55.4713329, 10.3245356)"
"(1639128785.8647692, 55.4713339, 10.3245359)"
"(1639128786.8648255, 55.4713342, 10.3245384)"
"(1639128787.8648252, 55.4713336, 10.3245393)"
"(1639128788.864827, 55.4713328, 10.3245402)"
"(1639128789.864773, 55.4713324, 10.3245404)"
"(1639128790.8640037, 55.4713327, 10.3245398)"
"(1639128791.8639956, 55.4713334, 10.3245388)"
"(1639128792.8639984, 55.4713338, 10.3245383)"
"(1639128793.8647802, 55.4713363, 10.324537)"
"(1639128794.863986, 55.4713411, 10.3245338)"
"(1639128795.8648288, 55.4713496, 10.3245261)"
"(1639128796.8648303, 55.4713607, 10.3245146)"
"(1639128797.864831, 55.4713716, 10.3245018)"
"(1639128798.864834, 55.4713806, 10.32449)"
"(1639128799.8647401, 55.4713837, 10.3244851)"
"(1639128800.8642175, 55.4713851, 10.3244818)"
"(1639128801.8647964, 55.4713939, 10.3244676)"
"(1639128802.8647969, 55.4714058, 10.3244507)"
"(1639128803.86403, 55.4714198, 10.3244279)"
"(1639128804.8640025, 55.4714336, 10.3244033)"
"(1639128805.8647425, 55.4714436, 10.3243851)"
"(1639128806.8640075, 55.471446, 10.3243799)"
"(1639128807.8640313, 55.4714458, 10.3243786)"
"(1639128808.864802, 55.471446, 10.3243788)"
"(1639128809.864782, 55.471446, 10.3243801)"
"(1639128810.8647835, 55.471446, 10.3243805)"
"(1639128811.8640285, 55.4714464, 10.3243787)"
"(1639128812.8647745, 55.4714468, 10.3243781)"
"(1639128813.8647783, 55.4714466, 10.3243792)"
"(1639128814.8639562, 55.4714464, 10.3243804)"
"(1639128815.864027, 55.4714463, 10.3243813)"
"(1639128816.8647575, 55.4714465, 10.3243815)"
"(1639128817.8640027, 55.471447, 10.324381)"
"(1639128818.8639934, 55.47145, 10.324376)"
"(1639128819.8639004, 55.4714552, 10.3243673)"
"(1639128820.864754, 55.4714602, 10.324359)"
"(1639128821.8639987, 55.4714623, 10.3243556)"
"(1639128822.863997, 55.4714631, 10.324355)"
"(1639128823.8639789, 55.4714651, 10.3243535)"
"(1639128824.8648183, 55.4714679, 10.3243509)"
"(1639128825.8639793, 55.4714723, 10.324346)"
"(1639128826.8639975, 55.4714803, 10.3243382)"
"(1639128827.8648264, 55.4714881, 10.324331)"
"(1639128828.864822, 55.4714893, 10.3243297)"
"(1639128829.8648314, 55.471489, 10.3243293)"
"(1639128830.8640003, 55.4714886, 10.3243292)"
"(1639128831.864027, 55.4714884, 10.3243291)"
